x,y,g
-8.670477592893370833e-01,1.516307253562938051e+00,1.000000000000000000e+00
-9.888372965647503898e-01,1.604012118075348603e+00,1.000000000000000000e+00
-9.220878146211910487e-01,-2.890325014558187133e-01,0.000000000000000000e+00
-3.896138063598634793e-01,6.441428812180673980e-01,1.000000000000000000e+00
-2.419172796893884481e-01,6.676174738072101489e-01,1.000000000000000000e+00
1.152196289165441145e+00,-7.536475294359378241e-01,2.000000000000000000e+00
-1.064403767208225604e+00,4.086610485991514774e-01,0.000000000000000000e+00
-1.801147496976516660e+00,1.484114544206162956e+00,0.000000000000000000e+00
-3.231360914330794754e-01,-5.860922171902960276e-01,0.000000000000000000e+00
9.667432610954462824e-01,3.515207561533523900e-02,2.000000000000000000e+00
2.324446296717057159e+00,-2.335648148688830972e+00,2.000000000000000000e+00
1.197202198208346724e+00,-1.035953746824262112e+00,2.000000000000000000e+00
-7.386086265648311722e-01,7.614221230741960444e-02,0.000000000000000000e+00
1.247870036354015166e+00,-7.813128205414060501e-01,2.000000000000000000e+00
-9.086082279609438705e-01,3.735516984372976301e-01,0.000000000000000000e+00
3.447890958900677871e-01,-3.322493529129730283e-01,1.000000000000000000e+00
1.320014239343864970e+00,-7.145530261029962027e-01,2.000000000000000000e+00
1.330227286113700336e+00,-1.321140256919170586e+00,2.000000000000000000e+00
-7.815571978418398569e-01,5.843023797086577958e-02,0.000000000000000000e+00
-3.620861182234031972e-01,-2.610366898903567212e-01,0.000000000000000000e+00
-7.443510445852645763e-01,-1.622671330813925117e-01,0.000000000000000000e+00
1.518613938736484537e+00,-1.377089943593119425e+00,2.000000000000000000e+00
-9.173435860567548117e-01,3.333444730363176456e-01,0.000000000000000000e+00
-3.001867459710796937e-01,7.133293655946231215e-01,1.000000000000000000e+00
-2.217376570311247741e-01,-9.600923558486506026e-01,0.000000000000000000e+00
-7.257194142177840757e-01,1.262356009722494621e+00,1.000000000000000000e+00
1.955356733995268881e+00,-2.054304471257001552e+00,2.000000000000000000e+00
-3.350126796896802928e-01,6.989267748376415401e-01,1.000000000000000000e+00
1.475130687013022746e+00,-1.455150419029921816e+00,2.000000000000000000e+00
-4.555756884907221083e-01,-6.584877132302590086e-01,0.000000000000000000e+00
-5.814982406212602095e-01,8.298654144953885314e-01,1.000000000000000000e+00
-7.102036870986884187e-01,-2.992805431051158149e-01,0.000000000000000000e+00
-6.683331632078592932e-01,1.010120144495084471e+00,1.000000000000000000e+00
1.663511896469410223e+00,-1.243052206429672513e+00,2.000000000000000000e+00
1.440352697008852934e+00,-1.228051402600910169e+00,2.000000000000000000e+00
1.408641928331788140e+00,-1.001452304461857512e+00,2.000000000000000000e+00
1.510281388560128057e+00,-1.579183683860047260e+00,2.000000000000000000e+00
-6.302400075043038674e-01,1.143133085272219018e+00,1.000000000000000000e+00
1.182471226757595861e+00,-8.701218834054632589e-01,2.000000000000000000e+00
-1.013128569419616154e+00,5.411650451810076090e-01,0.000000000000000000e+00
-1.414238818074348591e+00,8.417373217193628854e-01,0.000000000000000000e+00
-6.474849655128345205e-01,8.131196955661957812e-03,0.000000000000000000e+00
-5.634185997612302099e-01,7.605167887819406225e-01,1.000000000000000000e+00
-7.997104422644922828e-01,1.212858500164714304e+00,1.000000000000000000e+00
1.160713353993275909e+00,-5.142065209591832886e-01,2.000000000000000000e+00
-4.518948043901634404e-01,-4.186863524274486159e-01,0.000000000000000000e+00
9.053468869625375115e-01,-4.428649829736159282e-01,2.000000000000000000e+00
-1.061971604976907679e+00,1.708848315586369293e-01,0.000000000000000000e+00
-5.412181984206294594e-01,7.614953054873460081e-01,1.000000000000000000e+00
-7.047030212917984593e-02,-1.528586904212710096e-02,1.000000000000000000e+00
-3.632844173275256994e-02,2.600071681280148317e-01,1.000000000000000000e+00
-6.228199230514510631e-01,1.232611707520394173e+00,1.000000000000000000e+00
-7.417077620242507052e-01,1.343257997513715718e-01,0.000000000000000000e+00
-9.559426086447252446e-01,9.170508600380414266e-02,0.000000000000000000e+00
-9.794700895042016686e-01,1.911434818299533545e+00,1.000000000000000000e+00
1.259424567556286068e+00,-1.029285168269858053e+00,2.000000000000000000e+00
-6.145405988892732596e-01,-1.996257896962479739e-01,0.000000000000000000e+00
-9.815190767024620788e-01,1.802360226287885281e+00,1.000000000000000000e+00
-2.268133397392390060e-01,4.218573311480033894e-01,1.000000000000000000e+00
-8.588720153562723336e-01,1.186196569383176191e+00,1.000000000000000000e+00
-2.672543261307521179e-01,5.761739950180968517e-01,1.000000000000000000e+00
-1.122574605339202947e+00,4.299766972165214307e-01,0.000000000000000000e+00
-3.155181152556263413e-01,1.162418318619482971e+00,1.000000000000000000e+00
1.740052454292186246e+00,-1.489323591566515281e+00,2.000000000000000000e+00
-2.761149273237608615e-01,7.814488701294378670e-01,1.000000000000000000e+00
-5.497525665417571927e-01,1.042106118393471670e+00,1.000000000000000000e+00
-7.240243906400993801e-01,-1.025778755788453733e-01,0.000000000000000000e+00
1.343230927011745512e+00,-8.442715701230727454e-01,2.000000000000000000e+00
-7.195384229659507191e-01,1.077945337541714954e+00,1.000000000000000000e+00
-3.352543559667648387e-01,9.816444895071321231e-01,1.000000000000000000e+00
-4.731175923597020216e-01,8.172706149256433461e-01,1.000000000000000000e+00
-8.069841123674779126e-01,1.228116542020302848e+00,1.000000000000000000e+00
-6.682847095793562620e-01,1.217628614002597143e+00,1.000000000000000000e+00
1.617049387613737288e+00,-1.588575539148922022e+00,2.000000000000000000e+00
